Supplementary text for Orton et al. 2014. Mid-Infrared Spectroscopy of Uranus from the
Spitzer Infared Spectrometer: 1. Determination of the Mean Temperature Structure of the
Upper Troposphere and Stratosphere.

wl=wavelength (micrometers)
wn=wavenumber (cm-1)
rad=radiance (W cm-1 sr-1 (cm-1)-1); sigma = 1 standard deviation)
Tb=brightness temperature (K); sigma = 1 standard deviation)


Short-Low1 spectrum

    wl      wn         rad        sigma(rad)     Tb      sigma(Tb)    
   5.40    1852.30    3.327e-06    3.440e-07    111.75     0.49
   5.43    1841.98    3.803e-06    8.069e-08    111.84     0.10
   5.46    1831.78    2.958e-06    3.332e-07    110.13     0.52
   5.49    1821.69    2.486e-06    2.995e-07    108.81     0.55
   5.52    1811.70    2.781e-06    2.668e-07    108.79     0.44
   5.55    1801.83    3.158e-06    2.639e-07    108.85     0.38
   5.58    1792.07    2.844e-06    3.831e-07    107.86     0.61
   5.61    1782.41    2.559e-06    2.970e-07    106.88     0.52
   5.64    1772.85    2.208e-06    3.504e-07    105.73     0.70
   5.67    1763.39    1.896e-06    1.754e-07    104.57     0.40
   5.70    1754.04    2.114e-06    1.529e-07    104.55     0.31
   5.73    1744.79    2.303e-06    1.326e-07    104.44     0.25
   5.76    1735.63    2.689e-06    3.251e-07    104.64     0.53
   5.79    1726.57    2.674e-06    1.485e-07    104.14     0.24
   5.82    1717.60    3.237e-06    2.885e-07    104.50     0.39
   5.85    1708.72    3.047e-06    3.121e-07    103.76     0.45
   5.88    1699.94    3.430e-06    2.322e-07    103.82     0.30
   5.91    1691.24    3.651e-06    1.219e-07    103.63     0.15
   5.94    1682.64    3.508e-06    2.329e-07    102.99     0.29
   5.97    1674.12    2.600e-06    2.940e-07    101.25     0.48
   6.00    1665.68    2.077e-06    4.303e-07     99.86     0.87
   6.03    1657.34    3.290e-06    2.733e-07    101.36     0.36
   6.06    1649.07    3.607e-06    2.006e-07    101.32     0.24
   6.09    1640.89    2.854e-06    3.795e-07     99.88     0.56
   6.12    1632.78    2.906e-06    1.955e-07     99.52     0.28
   6.15    1624.76    3.071e-06    2.775e-07     99.33     0.38
   6.18    1616.82    3.118e-06    5.319e-07     98.97     0.72
   6.22    1608.95    2.066e-06    1.879e-07     96.85     0.37
   6.25    1601.16    1.637e-06    2.681e-07     95.51     0.65
   6.28    1593.44    2.145e-06    3.821e-07     96.19     0.73
   6.31    1585.80    2.675e-06    3.496e-07     96.68     0.54
   6.34    1578.23    3.062e-06    2.140e-07     96.83     0.29
   6.37    1570.74    3.631e-06    2.320e-07     97.14     0.27
   6.40    1563.31    3.469e-06    1.041e-06     96.55     1.28
   6.43    1555.95    3.161e-06    1.207e-06     95.77     1.64
   6.46    1548.67    2.916e-06    6.817e-07     95.05     0.96
   6.49    1541.45    3.747e-06    1.038e-06     95.69     1.17
   6.52    1534.30    5.200e-06    3.199e-07     96.67     0.26
   6.55    1527.21    4.440e-06    2.758e-07     95.62     0.26
   6.58    1520.19    5.332e-06    3.151e-07     96.00     0.25
   6.61    1513.23    4.866e-06    4.316e-07     95.24     0.37
   6.64    1506.34    5.412e-06    4.119e-07     95.30     0.32
