Supplementary text for Orton et al. 2014. Mid-Infrared Spectroscopy of Uranus from the
Spitzer Infared Spectrometer: 1. Determination of the Mean Temperature Structure of the
Upper Troposphere and Stratosphere.

wl=wavelength (micrometers)
wn=wavenumber (cm-1)
rad=radiance (W cm-1 sr-1 (cm-1)-1); sigma = 1 standard deviation)
Tb=brightness temperature (K); sigma = 1 standard deviation)


Short-Low1 spectrum

    wl      wn         rad        sigma(rad)     Tb      sigma(Tb)    
   17  12.04     830.70    1.070e-04    8.802e-06     66.51     0.30
   17  12.05     830.06    1.425e-04    9.889e-06     67.54     0.27
   17  12.06     829.42    6.938e-05    1.147e-05     64.86     0.59
   17  12.07     828.78    5.218e-05    4.853e-06     63.83     0.32
   17  12.08     828.15    9.041e-05    1.012e-05     65.72     0.41
   17  12.08     827.51    1.500e-04    1.028e-05     67.56     0.26
   17  12.09     826.88    7.725e-05    1.460e-05     65.07     0.68
   17  12.10     826.24    4.339e-05    9.408e-06     63.04     0.73
   17  12.11     825.60    7.252e-05    1.263e-05     64.76     0.62
   17  12.12     824.97    1.559e-04    9.916e-06     67.54     0.24
   17  12.13     824.33    1.138e-04    1.149e-05     66.31     0.38
   17  12.14     823.70    6.977e-05    5.154e-06     64.50     0.26
   17  12.15     823.07    1.022e-04    7.190e-06     65.83     0.26
   17  12.18     821.17    6.004e-05    4.152e-06     63.81     0.24
   17  12.19     820.54    6.097e-05    3.926e-06     63.83     0.22
   17  12.20     819.91    1.302e-04    8.378e-06     66.51     0.24
   17  12.21     819.28    1.207e-04    9.362e-06     66.19     0.29
   17  12.22     818.65    7.023e-05    6.320e-06     64.19     0.32
   17  12.22     818.02    5.699e-05    4.252e-06     63.43     0.26
   17  12.23     817.39    1.186e-04    6.503e-06     66.00     0.20
   17  12.24     816.76    1.246e-04    8.981e-06     66.14     0.27
   17  12.25     816.13    8.046e-05    8.936e-06     64.51     0.39
   17  12.26     815.50    8.258e-05    3.979e-06     64.56     0.17
   17  12.27     814.88    2.765e-04    8.566e-06     69.11     0.13
   17  12.28     814.25    3.361e-04    1.029e-05     69.87     0.13
   17  12.29     813.62    1.347e-04    1.985e-05     66.22     0.56
   17  12.34     810.50    6.976e-05    3.986e-06     63.64     0.20
   17  12.35     809.88    7.039e-05    4.258e-06     63.63     0.21
   17  12.36     809.26    1.027e-04    7.502e-06     64.92     0.26
   17  12.37     808.63    8.052e-05    7.433e-06     64.01     0.33
   17  12.38     808.01    6.829e-05    4.034e-06     63.40     0.20
   17  12.39     807.39    7.176e-05    3.960e-06     63.53     0.19
   17  12.40     806.77    8.892e-05    5.335e-06     64.24     0.21
   17  12.40     806.15    7.578e-05    4.203e-06     63.64     0.19
   17  12.41     805.53    6.092e-05    7.578e-06     62.84     0.43
   17  12.42     804.91    7.100e-05    8.131e-06     63.33     0.40
   17  12.43     804.29    7.162e-05    4.708e-06     63.32     0.23
   17  12.44     803.67    7.918e-05    7.671e-06     63.63     0.34
   17  12.45     803.05    6.158e-05    8.160e-06     62.72     0.45
